Sigla;Nome;Tipo de ambiente;Construção
A.007;SERVIDOR ESPAÇO AUTOMAÇÃO;Sala técnica;SNO02-Bloco A - Laboratórios
A.009;LABORATÓRIO DE ROBÓTICA AVANÇADA;Laboratório;SNO02-Bloco A - Laboratórios
A.029;LAB3M - LABORATÓRIO DE MAGNETISMO E MATERIAIS MAGNÉTICOS;Laboratório;SNO02-Bloco A - Laboratórios
A.021;LAFIF - LABORATÓRIO DE FIBRAS E FIAÇÃO;Laboratório;SNO02-Bloco A - Laboratórios
A.022;LMCA – LABORATÓRIO MULTIUSUÁRIO DE CARACTERIZAÇÃO AVANÇADA;Laboratório;SNO02-Bloco A - Laboratórios
A.E.001;LAVAÇÃO RU;Espaço de higienização;SNO03-Refeitório e Convivência
A.E.002;COZINHA RU;Área de refeição / alimentação;SNO03-Refeitório e Convivência
A.E.003;BUFFET SELF-SERVICE;Área de refeição / alimentação;SNO03-Refeitório e Convivência
A.E.004;ESCRITÓRIO RU;Sala de departamento / administrativa;SNO03-Refeitório e Convivência
A.E.006;CENTROS ACADÊMICOS;Sala multiuso;SNO03-Refeitório e Convivência
A.E.007;EMPRESA JÚNIOR LICENCIATURA;Sala multiuso;SNO03-Refeitório e Convivência
A001;BIBLIOTECA SETORIAL DO CAMPUS BLUMENAU;Biblioteca;BNU02-Bloco Acadêmico A - Salas de aula
A001.1;ADMINISTRAÇÃO BIBLIOTECA;Sala de departamento / administrativa;BNU02-Bloco Acadêmico A - Salas de aula
A001.3;AGENTE PATRIMONIAL;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A001.3.1;SALA DO SERVIDOR;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A002;SECRETARIA ACADÊMICA;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A003;ÁREA TÉCNICA ADMINISTRATIVA;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A004;SECRETARIA DE COORDENAÇÕES DE CURSO;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A005;DEPÓSITO LIMPEZA;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A101;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A102;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A103;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A104;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A105;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A106;SECRETARIA PÓS-GRADUAÇÃO;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A107;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A108;SALA DE ESTUDO DA PÓS-GRADUAÇÃO_1;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A110;SALA DE ESTUDO PÓS-GRADUAÇÃO_2;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A201;SALA DE CONVIVÊNCIA;Copa / Cozinha;BNU02-Bloco Acadêmico A - Salas de aula
A202;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A203;NUPE - NÚCLEO PEDAGÓGICO;(não identificado);BNU02-Bloco Acadêmico A - Salas de aula
A204;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
A205;SALA DE AULA;Sala de aula;BNU02-Bloco Acadêmico A - Salas de aula
